sprung nr.,start_analyse,t_absprung,messung
1,5.6785,6.3785,REAL_1
2,13.928,14.628,REAL_1
3,21.4635,22.1635,REAL_1
4,30.5385,31.2385,REAL_1
5,37.3935,38.0935,REAL_1
6,45.978,46.678,REAL_1
1,9.0235,9.7235,REAL_2
2,16.6835,17.3835,REAL_2
3,25.0085,25.7085,REAL_2
4,32.793,33.493,REAL_2
5,41.4235,42.1235,REAL_2
6,48.4085,49.1085,REAL_2
1,11.123,11.823,VR_1
2,19.248,19.948,VR_1
3,27.2575,27.9575,VR_1
4,35.2625,35.9625,VR_1
5,43.338,44.038,VR_1
6,51.403,52.103,VR_1
1,9.055,9.755,VR_2
2,17.185,17.885,VR_2
3,25.27,25.97,VR_2
4,33.2955,33.9955,VR_2
5,41.37,42.07,VR_2
6,49.4505,50.1505,VR_2
