idx;RT BICEPS FEM_REAL;RT BICEPS FEM_VR;RT MED GASTRO_REAL;RT MED GASTRO_VR;RT VLO_REAL;RT VLO_VR
1;173.89403315663174;274.87017050104856;91.49152507776444;73.63040512721898;122.55028096477525;100.3700858420403
2;118.67167694031848;246.08734378939357;86.64037985830774;74.4522030703806;100.84168267128304;76.35235823887965
3;205.7352936393336;299.0326126871829;72.69262285519733;103.07819847197783;125.77506861481626;109.66486911581737
4;118.85689138462531;234.53016727902946;77.85143659955904;70.62085049806628;108.09314579114329;90.26634214803411
5;187.2715069157527;294.71719437259037;79.18491242189496;70.4016839777619;122.17145880338177;71.84419235118108
6;58.331263177669136;267.01908431959913;70.39755544626098;84.57818921659272;119.22037239478207;91.77662897015522
7;;228.36403117330372;73.61466259736575;70.32878630096072;91.90181656012835;59.345245354281616
8;;;80.20382004248195;;78.6773456767501;
9;;;70.81784356931576;;90.06629289902325;
10;;;67.21310686113888;;91.09785041952847;
11;;;73.74082412863258;;89.87782023102945;
